"reference","stockMinimo","stockMaximo"
"ATOCHH",10,10
"AROGLACAS",0,0
"BOMDESREY",0,0
"AROFERCON",0,0
"BOTBALNEGMD",0,0
"ABRCER",0,0
"CLODES",0,0
"CEPPLAN",0,0
"BOLG",0,0
"COL",0,0
"ABRGLICH",0,0
"BOLM",0,0
"CEPIXT8",0,0
"CEPWC",0,0
"COLFREPLA",0,0
"BOMDES",0,0
"CUBESP",0,0
"AROVAICON",0,0
"ATOPROM",0,0
"CEPESCPLA",0,0
"BASMAD",0,0
"CUB12",0,0
"ATOTIG",0,0
"AROHUGCON",0,0
"AROCHACON",0,0
"BOTBALNEGCH",0,0
"BOTBAS",0,0
"DETAXI",0,0
"ARODRACON",0,0
"ATOIND",0,0
"AROPOLCON",0,0
"CESROPMD",0,0
"CEPDENCAJ",0,0
"CEPSAC",0,0
"CEPMANM",0,0
"CUB121",0,0
"AROETECON",0,0
"BOLCH",0,0
"CARLIQGOT",0,0
"CLODESCON",0,0
"CUB18",0,0
"DETSAL",0,0
"CEPBIB",0,0
"CESROPGD",0,0
"DESUNIATO",0,0
"CESROPCH",0,0
"DESTOA",0,0
"DETROM10",0,0
"CEPTAZREY",0,0
"CUBTRA8",0,0
"ATOMED",0,0
"CUB14PRE",0,0
"DETBUL",0,0
"CUBESPDOB",0,0
"CUBESPINS",0,0
"DESSHA",0,0
"DETVEL",0,0
"CEPIXT12 SIN BASTON",0,0
"CUCCHI",0,0
"BOLGP",0,0
"BOTBALCOLCH",0,0
"CEPWCST",0,0
"AROFRECON",0,0
"CUCGRA",0,0
"DETPOL",0,0
"BOTBALCOLGD",0,0
"CEPMANG",0,0
"ATOCAMP",0,0
"CEPPLANITA",0,0
"BOLMP",0,0
"DESPAPG",0,0
"DETMAS",0,0
"DESPAPCH",0,0
"BOLCHP",0,0
"CUBTRA12",0,0
"DESINT",0,0
"DETMASOBS",0,0
"DETARI",0,0
"CUCMED",0,0
"DETPER",0,0
"DETAJAAMO",0,0
"CEPMAS",0,0
"DESVAN",0,0
"CEPFLE",0,0
"DETZOTBLA",0,0
"ABRGLIGDE",0,0
"ABRALL",0,0
"BOTTAPG",0,0
"BOMMIN",0,0
"CEPESCRAI",0,0
"CEPLAVPLA",0,0
"CLOPAS",0,0
"CUB114",0,0
"ESCAUTMN SIN BASTON",0,0
"ESCCEPMN SIN BASTON",0,0
"ESCBASBLAMN",0,0
"ESCBASBLAMN SIN BASTON",0,0
"ESCABAMN",0,0
"ENVGAR10",0,0
"ESCDUR",0,0
"ESCBON",0,0
"ESCCEPRUD SIN BASTON",0,0
"ENV20",0,0
"ESCCEPSUP SIN BASTON",0,0
"ESCABAPER",0,0
"ENV220",0,0
"ESCABAMN SIN BASTON",0,0
"ESCITAPER",0,0
"ESCBASBLA SIN BASTON",0,0
"ESCBON SIN BASTON",0,0
"ESCEXTSUA",0,0
"ESCCEPSUP",0,0
"ESCATRMAGREY",0,0
"DISAROGOT",0,0
"ESCCLAMN",0,0
"ENVGAR",0,0
"ENV10",0,0
"ESCFLOCOL",0,0
"ESTROYPLU",0,0
"ESCAUTPER",0,0
"ESCABAPER SIN BASTON",0,0
"ESCCEPRUD",0,0
"ESCFLOCLA SIN BASTON",0,0
"ESCFLOCLA",0,0
"ESCAUTMN",0,0
"ESCBASBLA",0,0
"ESCJARMET SIN BASTON",0,0
"ESCINF",0,0
"ESTMATTOA",0,0
"ESTSAL",0,0
"ESTIXTTOA",0,0
"ESCCLAMN SIN BASTON",0,0
"FABMASCON",0,0
"ESCJARMET",0,0
"ESTBB",0,0
"ESTARG",0,0
"ENV1",0,0
"FIBCUATEL",0,0
"ESCDURMN",0,0
"ESCVEN SIN BASTON",0,0
"ESTRED",0,0
"ESPAUT",0,0
"FABMAS",0,0
"FIBAZUREY",0,0
"FIBBRIJUM",0,0
"ESTMINFAC",0,0
"FABCANCON",0,0
"FABLAV",0,0
"FIBVERM",0,0
"ESCITAMN SIN BASTON",0,0
"FIBMINTAL",0,0
"FIBTAL1",0,0
"ESCITAMN",0,0
"FABMAR",0,0
"FIBTAL",0,0
"FIBESPI",0,0
"FABLIMCON",0,0
"FIBAJA",0,0
"ESCDURMN SIN BASTON",0,0
"ESTFAC",0,0
"FABFRUCON",0,0
"ESTSALTOA",0,0
"FIBREY",0,0
"FIBCUATELCH",0,0
"ESCVEN",0,0
"ESCMIH",0,0
"FIBBRIM",0,0
"ESCAUTPER SIN BASTON",0,0
"DETZOTROS",0,0
"ESCITAPER SIN BASTON",0,0
"FRAAMA",0,0
"FIBBRIG",0,0
"ESTFLO",0,0
"EXTACE",0,0
"ESCJARPLA",0,0
"ESTBB2",0,0
"ESTMATG",0,0
"ESCDUR SIN BASTON",0,0
"ESCJARPLA SIN BASTON",0,0
"FIBNEG",0,0
"ESCFLOCOL SIN BASTON",0,0
"ESCCEPMN",0,0
"FABFRU",0,0
"FIBESP",0,0
"FABLIM",0,0
"FABCAN",0,0
"FABMARCON",0,0
"FABLAVCON",0,0
"ESCCEPPER SIN BASTON",0,0
"ESCEXTSUASINBASTON",0,0
"ESCCEPPER",0,0
"ESTMAGBOL",0,0
"Raul88",0,0